date,source
1977-01-09,ERA5
1979-02-22,ERA5
1980-02-29,ERA5
1981-02-06,JRA-55
1981-03-04,ERA5
1981-12-04,ERA5
1984-02-24,ERA5
1985-01-01,ERA5
1987-01-23,ERA5
1987-12-08,ERA5
1988-03-14,ERA5
1989-02-21,ERA5
1998-12-15,ERA5
1999-02-26,ERA5
2000-03-20,ERA5
2001-02-11,ERA5
2001-12-30,ERA5
2002-02-17,ERA5
2003-01-18,ERA5
2004-01-05,ERA5
2006-01-21,ERA5
2007-02-24,ERA5
2008-02-22,ERA5
2009-01-24,ERA5
2010-02-09,ERA5
2010-03-24,ERA5
2013-01-06,ERA5
2018-02-12,ERA5
2019-01-01,ERA5
2021-01-05,ERA5
2023-02-16,ERA5
