date,pressure_level,number,vortex_strength,month,winter,year
1975-01-01,10.0,0,27.17682,1,winter_1974_1975,1975
1975-01-02,10.0,0,19.799696,1,winter_1974_1975,1975
1975-01-03,10.0,0,18.212234,1,winter_1974_1975,1975
1975-01-04,10.0,0,15.769155,1,winter_1974_1975,1975
1975-01-05,10.0,0,15.129872,1,winter_1974_1975,1975
1975-01-06,10.0,0,14.061036,1,winter_1974_1975,1975
1975-01-07,10.0,0,14.20018,1,winter_1974_1975,1975
1975-01-08,10.0,0,14.891868,1,winter_1974_1975,1975
1975-01-09,10.0,0,14.259356,1,winter_1974_1975,1975
1975-01-10,10.0,0,18.877945,1,winter_1974_1975,1975
1975-01-11,10.0,0,18.055437,1,winter_1974_1975,1975
1975-01-12,10.0,0,21.34932,1,winter_1974_1975,1975
1975-01-13,10.0,0,21.003206,1,winter_1974_1975,1975
1975-01-14,10.0,0,21.273994,1,winter_1974_1975,1975
1975-01-15,10.0,0,23.3279,1,winter_1974_1975,1975
1975-01-16,10.0,0,23.108316,1,winter_1974_1975,1975
1975-01-17,10.0,0,21.102743,1,winter_1974_1975,1975
1975-01-18,10.0,0,18.766024,1,winter_1974_1975,1975
1975-01-19,10.0,0,16.703348,1,winter_1974_1975,1975
1975-01-20,10.0,0,14.786458,1,winter_1974_1975,1975
1975-01-21,10.0,0,15.364863,1,winter_1974_1975,1975
1975-01-22,10.0,0,15.037375,1,winter_1974_1975,1975
1975-01-23,10.0,0,13.181256,1,winter_1974_1975,1975
1975-01-24,10.0,0,16.05421,1,winter_1974_1975,1975
1975-01-25,10.0,0,17.20234,1,winter_1974_1975,1975
1975-01-26,10.0,0,18.974869,1,winter_1974_1975,1975
1975-01-27,10.0,0,21.386003,1,winter_1974_1975,1975
1975-01-28,10.0,0,20.993399,1,winter_1974_1975,1975
1975-01-29,10.0,0,22.286144,1,winter_1974_1975,1975
1975-01-30,10.0,0,23.633684,1,winter_1974_1975,1975
1975-01-31,10.0,0,25.288511,1,winter_1974_1975,1975
1975-02-01,10.0,0,26.707731,2,winter_1974_1975,1975
1975-02-02,10.0,0,25.462849,2,winter_1974_1975,1975
1975-02-03,10.0,0,21.939127,2,winter_1974_1975,1975
1975-02-04,10.0,0,16.41347,2,winter_1974_1975,1975
1975-02-05,10.0,0,11.941347,2,winter_1974_1975,1975
1975-02-06,10.0,0,11.62258,2,winter_1974_1975,1975
1975-02-07,10.0,0,13.638377,2,winter_1974_1975,1975
1975-02-08,10.0,0,16.784075,2,winter_1974_1975,1975
1975-02-09,10.0,0,18.320026,2,winter_1974_1975,1975
1975-02-10,10.0,0,18.37868,2,winter_1974_1975,1975
